username,account_age_days,followers_count,following_count,posts_count,has_profile_pic,has_bio,is_verified,has_url,avg_likes_per_post,avg_retweets_per_post,posting_frequency_per_day,bio_length,username_digits_count,follower_following_ratio,engagement_rate,profile_completeness,is_bot
user_1000_0,2528,977,1392,1879,1,1,0,0,24.14,2.36,1.36,41,0,0.7014,55.4478,1.6,0
user_1001_0,877,460,304,411,1,0,0,0,22.78,2.3,1.74,0,0,1.5082,24.4104,0.5,0
user_1002_0,666,511,456,908,1,1,0,1,19.75,5.26,2.31,62,0,1.1182,53.682,1.8,0
user_1003_0,1531,507,685,127,1,1,0,0,26.25,5.36,1.95,59,0,0.7391,9.2425,1.6,0
user_1004_7,57,105,1722,844,0,1,0,0,1.33,0.38,27.56,22,7,0.0609,16.6411,0.5,1
user_1005_4,95,13212,4188,28,1,0,0,0,0.64,0.64,0.19,0,4,3.154,0.0041,0.5,1
user_1006_5,224,8,1535,3,0,0,0,0,0.0,0.0,0.0,0,5,0.0052,0.0,0.2,1
user_1007_0,2243,890,1136,1675,1,1,0,1,19.4,4.09,0.12,71,0,0.7828,51.8479,1.8,0
user_1008_0,801,16384,935,2904,1,1,1,1,1656.9,152.99,7.8,71,0,17.5043,347.8916,1.8,0
user_1009_0,150,621,325,688,1,1,0,1,24.14,1.2,1.93,84,0,1.9049,29.3561,1.8,0
user_1010_2,81,14510,4045,9,1,0,0,0,0.68,0.59,0.35,0,2,3.5863,0.0012,0.5,1
user_1011_0,808,61806,960,1934,1,1,1,1,377.53,144.28,1.79,126,0,64.3143,20.8426,1.8,0
user_1012_7,52,163,2346,295,1,1,0,0,0.51,0.28,91.23,27,7,0.0695,1.9247,0.8,1
user_1013_6,59,34,2065,4676,1,0,0,0,1.0,0.0,31.88,0,6,0.0165,133.6,0.5,1
user_1014_4,83,6809,3884,37,0,0,0,1,3.42,0.85,0.35,0,4,1.7526,0.0278,0.4,1
user_1015_0,486,316,285,839,1,1,0,0,24.62,1.57,0.16,89,0,1.1049,73.4721,1.6,0
user_1016_0,2376,579,885,479,1,1,0,1,24.22,3.85,1.47,74,0,0.6535,26.3615,1.8,0
user_1017_5,118,5263,5028,38,1,1,0,0,1.82,0.81,0.41,36,5,1.0465,0.0248,1.6,1
user_1018_0,1335,90047,815,5983,1,1,1,1,694.98,157.73,1.66,129,0,110.3517,67.136,1.8,0
user_1019_4,18,12399,3605,31,0,0,0,1,2.12,0.13,0.29,0,4,3.4384,0.006,0.4,1
user_1020_0,900,810,557,403,1,1,0,0,12.71,5.2,1.15,45,0,1.4516,11.4838,1.6,0
user_1021_0,350,1752,1002,1577,1,1,0,1,12.15,0.94,1.92,76,0,1.7468,12.6214,1.8,0
user_1022_0,661,1058,448,227,1,0,0,1,27.31,3.52,1.68,0,0,2.3563,7.363,0.7,0
user_1023_1,942,665,405,1886,1,1,0,1,8.1,2.53,0.87,70,1,1.6379,37.2669,1.8,0
user_1024_1,1467,394,414,891,1,1,0,1,22.65,3.46,0.99,67,1,0.9494,66.7009,1.8,0
user_1025_2,2256,540,1097,1613,1,1,0,1,18.17,2.96,2.38,49,2,0.4918,71.8247,1.8,0
user_1026_3,81,11925,3996,35,1,1,0,1,0.91,0.49,0.08,26,3,2.9835,0.0055,1.0,1
user_1027_7,34,43,2000,2966,1,0,0,0,1.05,0.06,101.3,0,7,0.0215,78.8686,0.5,1
user_1028_0,190,193,168,380,1,1,0,0,16.29,2.9,1.22,64,0,1.142,43.2691,1.6,0
user_1029_0,220,1416,901,184,1,1,0,1,11.25,3.95,0.28,65,0,1.5698,2.4867,1.8,0
user_1030_5,361,12,1421,2,0,0,0,0,0.0,0.0,0.0,0,5,0.0084,0.0,0.2,1
user_1031_3,122,5,1905,3,0,1,0,0,0.0,0.0,0.0,0,3,0.0026,0.0,0.5,1
user_1032_2,286,103,362,879,1,1,0,1,33.01,4.98,1.1,101,2,0.2837,363.1791,1.8,0
user_1033_7,8,17,2817,3427,1,0,0,0,0.57,0.78,103.42,0,7,0.006,405.5283,0.5,1
user_1034_0,1143,25969,801,3244,1,1,1,1,2473.73,111.04,4.15,82,0,32.3803,336.7427,1.8,0
user_1035_5,79,9651,4767,10,1,1,0,1,2.84,0.85,0.3,26,5,2.0241,0.0047,1.0,1
user_1036_0,672,11460,993,6084,1,1,0,1,375.94,43.66,3.45,75,0,11.5292,245.9187,1.8,0
user_1037_0,3314,31405,1233,6449,1,1,1,1,2579.77,786.55,2.03,111,0,25.4498,852.7625,1.8,0
user_1038_4,346,5,972,1,0,0,0,0,0.0,0.0,0.0,0,4,0.0051,0.0,0.2,1
user_1039_3,40,4183,3949,20,1,1,0,1,1.28,0.19,0.07,15,3,1.059,0.0079,1.0,1
user_1040_0,194,882,164,592,1,0,0,1,24.81,2.26,1.9,0,0,5.3455,19.6641,0.7,0
user_1041_0,490,2498,429,1230,1,1,0,1,10.1,0.29,0.75,70,0,5.8093,5.2567,1.8,0
user_1042_0,430,387,227,1992,1,0,0,1,25.05,2.62,0.41,0,0,1.6974,155.5095,0.7,0
user_1043_1,950,1679,170,1021,1,1,0,0,18.39,1.84,1.08,74,1,9.8187,13.4128,1.6,0
user_1044_6,26,59,3840,5400,1,0,0,0,1.15,0.15,48.99,0,6,0.0154,130.5,0.5,1
user_1045_0,833,16099,774,1371,1,1,0,1,987.35,230.14,1.36,125,0,20.7729,123.2733,1.8,0
user_1046_0,235,1216,348,999,1,1,0,1,29.53,3.84,0.53,67,0,3.4842,30.5446,1.8,0
user_1047_6,53,254,1989,3272,0,0,0,0,1.22,0.53,69.92,0,6,0.1276,29.2555,0.2,1
user_1048_6,38,246,3036,1046,0,0,0,1,0.75,0.19,109.46,0,6,0.081,4.7853,0.4,1
user_1049_0,3343,58939,356,5504,1,1,1,1,1361.33,230.6,7.26,100,0,165.0952,170.1935,1.8,0
user_1050_1,348,835,568,469,1,1,0,1,15.84,1.54,2.01,54,1,1.4675,10.6142,1.8,0
user_1051_8,59,211,3399,680,0,0,0,1,0.88,0.32,63.51,0,8,0.0621,4.8755,0.4,1
user_1052_2,825,417,465,711,1,1,0,1,20.0,1.22,1.56,104,2,0.8948,38.1695,1.8,0
user_1053_3,325,2,1971,1,1,0,0,0,0.0,0.0,0.0,0,3,0.001,0.0,0.5,1
user_1054_6,49,181,2896,212,0,1,0,0,0.5,0.32,71.43,27,6,0.0625,1.3279,0.5,1
user_1055_2,1190,431,446,172,1,1,0,0,32.79,5.75,0.13,39,2,0.9642,17.634,1.6,0
user_1056_0,548,899,540,771,1,1,0,0,38.56,1.29,0.26,58,0,1.6617,35.2433,1.6,0
user_1057_0,1114,51008,1251,2645,1,1,1,1,760.76,118.93,5.51,102,0,40.7412,51.782,1.8,0
user_1058_0,530,18489,1080,5828,1,1,0,1,515.31,318.6,1.14,111,0,17.1036,363.2682,1.8,0
user_1059_1,966,576,452,511,1,1,0,0,22.74,2.88,0.13,23,1,1.2715,25.24,0.8,0
user_1060_7,34,85,2828,1884,0,1,0,0,0.83,0.35,45.92,28,7,0.03,33.5177,0.5,1
user_1061_0,1742,1849,585,767,1,1,0,0,19.37,3.13,2.46,32,0,3.1553,10.6261,1.6,0
user_1062_0,2085,680,137,1014,1,1,0,0,30.96,6.64,1.7,18,0,4.9275,65.8728,0.8,0
user_1063_0,265,225,615,367,1,1,0,0,10.4,8.76,1.69,67,0,0.3653,45.3391,1.6,0
